?????,?????,??????,?????,????????,??,??,???????
???????,??????? ??? 114-322,????,3,044-300-2454,36.496194,127.279437,2024-05-31
???????,??????? ??? 114-303,????,3,044-300-2454,36.497291,127.279977,2024-05-31
???????,??????? ??? 114-275,????,3,044-300-2454,36.497554,127.281012,2024-05-31
???????,??????? ??? 114-544,????,3,044-300-2454,36.498881,127.281254,2024-05-31
???????,??????? ???? 136,????,3,044-300-2454,36.499039,127.282348,2024-05-31
???????,??????? ??? 114-238,????,3,044-300-2454,36.49939,127.282162,2024-05-31
???????,??????? ??? 114-265,????,3,044-300-2454,36.499331,127.2811,2024-05-31
???????,??????? ??? 114-316,????,3,044-300-2454,36.498382,127.278576,2024-05-31
???????,??????? ??? 114-318,????,3,044-300-2454,36.497385,127.278071,2024-05-31
???????,??????? ??? 114-352,????,3,044-300-2454,36.497039,127.276375,2024-05-31
???????,??????? ??? 114-378,????,3,044-300-2454,36.495924,127.275373,2024-05-31
???????,??????? ??? 107-52,????,3,044-300-2454,36.495485,127.273918,2024-05-31
???????,??????? ??? 107-54,????,3,044-300-2454,36.494563,127.274619,2024-05-31
???????,??????? ??? 107-262,????,3,044-300-2454,36.494279,127.275772,2024-05-31
???????,??????? ??? 107-77,????,3,044-300-2454,36.493774,127.273789,2024-05-31
???????,??????? ??? 107-251,????,3,044-300-2454,36.494501,127.273101,2024-05-31
???????,??????? ??? 107-81,????,3,044-300-2454,36.493129,127.273194,2024-05-31
???????,??????? ??? 548-119,????,3,044-300-2454,36.491335,127.270359,2024-05-31
???????,??????? ??? 679,????,5,044-300-2454,36.514938,127.257297,2024-05-31
???????,??????? ??? 151,????,3,044-300-2454,36.51263,127.236691,2024-05-31
???????,??????? ??? ?56,????,4,044-300-2454,36.492857,127.304789,2024-05-31
???????,??????? ??? 643,????,4,044-300-2454,36.470529,127.273026,2024-05-31
???????,??????? ??? 611-2,????,4,044-300-2454,36.471962,127.276506,2024-05-31
???????,??????? ??? 65-39,????,4,044-300-2454,36.472724,127.275992,2024-05-31
???????,??????? ??? 148-1,????,4,044-300-2454,36.489528,127.25274,2024-05-31
???????,??????? ??? 1073,????,4,044-300-2454,36.47912,127.249734,2024-05-31
???????,??????? ??? 900,????,6,044-300-2454,36.519878,127.260171,2024-05-31
???????,??????? ??? 900,????,6,044-300-2454,36.517785,127.258347,2024-05-31
???????,??????? ??? 1239,????,4,044-300-2454,36.475263,127.249921,2024-05-31
???????,??????? ??3? 32,????,4,044-300-2454,36.526279,127.267313,2024-05-31
???????,??????? ??3? 32,????,4,044-300-2454,36.52627,127.267304,2024-05-31
???????,??????? ??3? 90,????,4,044-300-2454,36.527996,127.270377,2024-05-31
???????,??????? ??? 663,????,4,044-300-2454,36.513816,127.259014,2024-05-31
???????,??????? ??? 215-3,????,4,044-300-2454,36.535718,127.264491,2024-05-31
???????,??????? ??? 199,????,4,044-300-2454,36.536005,127.266086,2024-05-31
???????,??????? ??? 118,????,5,044-300-2454,36.53601,127.269596,2024-05-31
???????,??????? ??? ?10,????,5,044-300-2454,36.53291,127.270446,2024-05-31
???????,??????? ??? ? 10,????,5,044-300-2454,36.53066,127.265915,2024-05-31
???????,??????? ??? 184-5,????,5,044-300-2454,36.533159,127.265158,2024-05-31
???????,??????? ??? 245,????,5,044-300-2454,36.534706,127.262754,2024-05-31
???????,??????? ??? 238,????,4,044-300-2454,36.532894,127.261975,2024-05-31
???????,??????? ??? 1478,????,4,044-300-2454,36.526432,127.256461,2024-05-31
???????,??????? ??? 1479,????,4,044-300-2454,36.525522,127.260899,2024-05-31
???????,??????? ??? 369-1,????,5,044-300-2454,36.527011,127.261374,2024-05-31
???????,??????? ??? 620-1,????,4,044-300-2454,36.528254,127.262495,2024-05-31
???????,??????? ??? ?109-1,????,5,044-300-2454,36.529262,127.25799,2024-05-31
???????,??????? ??? 28,????,4,044-300-2454,36.529214,127.259045,2024-05-31
???????,??????? ??? 626,????,4,044-300-2454,36.529205,127.260246,2024-05-31
???????,??????? ??? 279-3,????,5,044-300-2454,36.529945,127.258808,2024-05-31
???????,??????? ??? 1060,????,5,044-300-2454,36.477722,127.24866,2024-05-31
???????,??????? ??? ? 379,????,5,044-300-2454,36.518612,127.275,2024-05-31
???????,??????? ??? 1285,????,5,044-300-2454,36.5125,127.247887,2024-05-31
???????,??????? ??? 30,????,3,044-300-2454,36.522426,127.276956,2024-05-31
???????,??????? ??? 24,????,5,044-300-2454,36.524084,127.277191,2024-05-31
???????,??????? ??? 18,????,4,044-300-2454,36.524022,127.275608,2024-05-31
???????,??????? ??? 62,????,5,044-300-2454,36.525012,127.275823,2024-05-31
???????,??????? ??? 605,????,4,044-300-2454,36.524492,127.274616,2024-05-31
???????,??????? ??? 13,????,5,044-300-2454,36.523735,127.274993,2024-05-31
???????,??????? ??? 67,????,4,044-300-2454,36.522881,127.274456,2024-05-31
???????,??????? ??2? 78,????,4,044-300-2454,36.525477,127.273636,2024-05-31
???????,??????? ??2? 78,????,5,044-300-2454,36.524489,127.273371,2024-05-31
???????,??????? ??7? 19,????,4,044-300-2454,36.525126,127.272903,2024-05-31
???????,??????? ??? 74-2,????,4,044-300-2454,36.524474,127.272251,2024-05-31
???????,??????? ??? 113-1,????,4,044-300-2454,36.526432,127.272227,2024-05-31
???????,??????? ??? 606,????,4,044-300-2454,36.52554,127.271717,2024-05-31
???????,??????? ??? 77-1,????,4,044-300-2454,36.52364,127.271128,2024-05-31
???????,??????? ??? 115-1,????,5,044-300-2454,36.526536,127.271436,2024-05-31
???????,??????? ??? 94-1,????,4,044-300-2454,36.524707,127.270448,2024-05-31
???????,??????? ??? 84-1,????,5,044-300-2454,36.523837,127.269108,2024-05-31
???????,??????? ??? 472-1,????,5,044-300-2454,36.523626,127.26748,2024-05-31
???????,??????? ??? 473,????,5,044-300-2454,36.523023,127.267431,2024-05-31
???????,??????? ??? ? 10,????,5,044-300-2454,36.527317,127.269567,2024-05-31
???????,??????? ??? ? 10,????,5,044-300-2454,36.526831,127.268523,2024-05-31
???????,??????? ??? ? 10,????,5,044-300-2454,36.525929,127.269217,2024-05-31
???????,??????? ??3? 32,????,4,044-300-2454,36.524857,127.26847,2024-05-31
???????,??????? ??? 464,????,4,044-300-2454,36.52449,127.267067,2024-05-31
???????,??????? ??3? 32,????,3,044-300-2454,36.52516,127.265256,2024-05-31
???????,??????? ??2? 6,????,4,044-300-2454,36.528444,127.267875,2024-05-31
???????,??????? ??2? 6,????,5,044-300-2454,36.527486,127.267436,2024-05-31
???????,??????? ??3? 90,????,4,044-300-2454,36.523513,127.273103,2024-05-31
???????,??????? ??3? 85,????,5,044-300-2454,36.531667,127.268446,2024-05-31
???????,??????? ??3? 85,????,4,044-300-2454,36.530948,127.268876,2024-05-31
???????,??????? ??3? 32,????,5,044-300-2454,36.529731,127.267228,2024-05-31
???????,??????? ??3? 32,????,5,044-300-2454,36.52856,127.264995,2024-05-31
???????,??????? ??3? 32,????,4,044-300-2454,36.527543,127.263916,2024-05-31
???????,??????? ??3? 32,????,4,044-300-2454,36.524227,127.264638,2024-05-31
???????,??????? ??? 603-26,????,3,044-300-2454,36.711199,127.145194,2024-05-31
???????,??????? ??? 285-24,????,3,044-300-2454,36.629548,127.25721,2024-05-31
???????,??????? ??? 364,????,3,044-300-2454,36.680447,127.191953,2024-05-31
???????,??????? ??? 118-1,????,3,044-300-2454,36.603077,127.189459,2024-05-31
???????,??????? ???? 73-2,????,3,044-300-2454,36.559415,127.270989,2024-05-31
???????,??????? ????? 913,????,2,044-300-2454,36.612485,127.247997,2024-05-31
???????,??????? ??? 94-14,????,3,044-300-2454,36.515235,127.220066,2024-05-31
???????,??????? ??? 419-10,????,3,044-300-2454,36.495604,127.205774,2024-05-31
???????,??????? ??1? 240,????,2,044-300-2454,36.478371,127.212346,2024-05-31
???????,??????? ?????9,????,4,044-300-2454,36.532549,127.385049,2024-05-31
???????,??????? ??? 1146-1,????,4,044-300-2454,36.528988,127.368958,2024-05-31
???????,??????? ??? 1146-1,????,4,044-300-2454,36.529341,127.368023,2024-05-31
???????,??????? ?????? 60-11,????,3,044-300-2454,36.53257,127.384978,2024-05-31
???????,??????? ??1? 104,????,3,044-300-2454,36.542947,127.34136,2024-05-31
???????,??????? ??? 710-124,????,3,044-300-2454,36.545341,127.262532,2024-05-31
???????,??????? ??? ?2-3,????,3,044-300-2454,36.597975,127.283883,2024-05-31
???????,??????? ??? 369-4,????,3,044-300-2454,36.595885,127.285198,2024-05-31
???????,??????? ??? 290,????,2,044-300-2454,36.605513,127.293595,2024-05-31
???????,??????? ??1? 5,????,3,044-300-2454,36.606952,127.290851,2024-05-31
???????,??????? ??? 177,????,2,044-300-2454,36.599784,127.296724,2024-05-31
???????,??????? ??? 661,????,3,044-300-2454,36.72356,127.1964,2024-05-31
???????,??????? ??? 130-3,????,3,044-300-2454,36.69979,127.1511,2024-05-31
???????,??????? ??? 371-8,????,3,044-300-2454,36.64353,127.2565,2024-05-31
???????,??????? ??? 118-16,????,3,044-300-2454,36.6595,127.2599,2024-05-31
???????,??????? ??? 557,????,3,044-300-2454,36.67002,127.2277,2024-05-31
???????,??????? ??? 631-3,????,3,044-300-2454,36.64255,127.2778,2024-05-31
???????,??????? ??? 375,????,3,044-300-2454,36.68081,127.2631,2024-05-31
???????,??????? ??? 91,????,2,044-300-2454,36.69511,127.1659,2024-05-31
???????,??????? ??? 415-8,????,2,044-300-2454,36.69183,127.2147,2024-05-31
???????,??????? ??? ? 85-5,????,2,044-300-2454,36.68783,127.1664,2024-05-31
???????,??????? ??? 356-4,????,4,044-300-2454,36.67993,127.2045,2024-05-31
???????,??????? ??? 282-1,????,3,044-300-2454,36.59729,127.1741,2024-05-31
???????,??????? ??? 291-14,????,3,044-300-2454,36.70176,127.2115,2024-05-31
???????,??????? ??? 331,????,3,044-300-2454,36.58935,127.2266,2024-05-31
???????,??????? ??? 384,????,3,044-300-2454,36.56479,127.2838,2024-05-31
???????,??????? ??? 384,????,3,044-300-2454,36.55886,127.2838,2024-05-31
???????,??????? ??? 1211-2,????,3,044-300-2454,36.55599,127.2246,2024-05-31
???????,??????? ??? 652,????,3,044-300-2454,36.57288,127.2898,2024-05-31
???????,??????? ??? 636,????,3,044-300-2454,36.44197,127.2016,2024-05-31
???????,??????? ??? 475-8,????,3,044-300-2454,36.48877,127.1972,2024-05-31
???????,??????? ??? 511-4,????,3,044-300-2454,36.53855,127.1897,2024-05-31
???????,??????? ??? 388,????,3,044-300-2454,36.50461,127.2003,2024-05-31
???????,??????? ??? 125,????,3,044-300-2454,36.45239,127.2262,2024-05-31
???????,??????? ??? 118,????,2,044-300-2454,36.4413,127.2243,2024-05-31
???????,??????? ??2? 22-12,????,3,044-300-2454,36.47195,127.2884,2024-05-31
???????,??????? ??? 190-3,????,2,044-300-2454,36.44699,127.2855,2024-05-31
???????,??????? ???? 615-5,????,3,044-300-2454,36.45868,127.3337,2024-05-31
???????,??????? ??? 267-7,????,3,044-300-2454,36.4397,127.2929,2024-05-31
???????,??????? ??? 590,????,3,044-300-2454,36.47987,127.3277,2024-05-31
???????,??????? ??? 210-7,????,3,044-300-2454,36.46783,127.2824,2024-05-31
???????,??????? ??? 225-6,????,3,044-300-2454,36.46542,127.3069,2024-05-31
???????,??????? ??? 430,????,2,044-300-2454,36.50328,127.3993,2024-05-31
???????,??????? ????? 312,????,3,044-300-2454,36.50191,127.3545,2024-05-31
???????,??????? ??? 1169-2,????,2,044-300-2454,36.53581,127.3667,2024-05-31
???????,??????? ??? 95-1,????,3,044-300-2454,36.49491,127.4056,2024-05-31
???????,??????? ??? 700-2,????,4,044-300-2454,36.57648,127.3101,2024-05-31
???????,??????? ??? 227-8,????,3,044-300-2454,36.5536,127.3404,2024-05-31
???????,??????? ??? 656,????,3,044-300-2454,36.52365,127.352,2024-05-31
???????,??????? ??? 664,????,3,044-300-2454,36.53588,127.3426,2024-05-31
???????,??????? ??? 2,????,3,044-300-2454,36.54288,127.228,2024-05-31
???????,??????? ??? 500,????,3,044-300-2454,36.54348,127.2919,2024-05-31
???????,??????? ?? 132-3,????,2,044-300-2454,36.60575,127.2957,2024-05-31
???????,??????? ??? 344,????,3,044-300-2454,36.58907,127.2969,2024-05-31
???????,??????? ??? 76-3,????,3,044-300-2454,36.60079,127.2899,2024-05-31
???????,??????? ??? 245-9,????,3,044-300-2454,36.63422,127.2911,2024-05-31
???????,??????? ??? 50-5,????,2,044-300-2454,36.61297,127.294,2024-05-31
???????,??????? ??? 289,????,4,044-300-2454,36.60541,127.2921,2024-05-31
???????,??????? ??19? 29,????,3,044-300-2454,36.60704,127.2955,2024-05-31
???????,??????? ??? 945(1),????,1,044-300-2454,36.480042,127.259794,2024-05-31
???????,??????? ??? 40 (???),????,1,044-300-2454,36.48042,127.250482,2024-05-31
???????,??????? ??? 43 (???),????,1,044-300-2454,36.476279,127.253841,2024-05-31
???????,??????? ??? 43 (???),????,1,044-300-2454,36.477392,127.255531,2024-05-31
???????,??????? ??1? 40 (???),????,1,044-300-2454,36.474908,127.24841,2024-05-31
???????,??????? ??? 30 (???),????,1,044-300-2454,36.480087,127.249137,2024-05-31
???????,??????? ??1? 65 (???),????,2,044-300-2454,36.476507,127.247234,2024-05-31
???????,??????? ??? 980,????,1,044-300-2454,36.470788,127.256934,2024-05-31
???????,??????? ??? 15 (???),????,1,044-300-2454,36.479632,127.24777,2024-05-31
???????,??????? ??? 110 (???),????,1,044-300-2454,36.4785,127.261423,2024-05-31
???????,??????? ??? 110 (???),????,1,044-300-2454,36.480115,127.253186,2024-05-31
???????,??????? ??3? 75 (???),????,1,044-300-2454,36.478496,127.2555,2024-05-31
???????,??????? ??3? 10 (???),????,2,044-300-2454,36.482083,127.259524,2024-05-31
???????,??????? ??? 979,????,1,044-300-2454,36.471479,127.257284,2024-05-31
???????,??????? ??? 1234,????,1,044-300-2454,36.476604,127.257304,2024-05-31
???????,??????? ??? 959,????,1,044-300-2454,36.478131,127.261594,2024-05-31
???????,??????? ??? 90 (???),????,1,044-300-2454,36.477256,127.25961,2024-05-31
???????,??????? ??? 86 (???),????,1,044-300-2454,36.479713,127.250556,2024-05-31
???????,??????? ??? 58 (???),????,2,044-300-2454,36.475777,127.256167,2024-05-31
???????,??????? ??? 43 (???),????,1,044-300-2454,36.475682,127.254732,2024-05-31
???????,??????? ??? 30 (???),????,1,044-300-2454,36.475821,127.252192,2024-05-31
???????,??????? ??? 43 (???),????,1,044-300-2454,36.476526,127.252147,2024-05-31
???????,??????? ??? 43 (???),????,1,044-300-2454,36.477441,127.254104,2024-05-31
???????,??????? ??? 32 (???),????,3,044-300-2454,36.477638,127.253685,2024-05-31
???????,??????? ??1? 63 (???),????,2,044-300-2454,36.477807,127.249609,2024-05-31
???????,??????? ??3? 50 (???),????,1,044-300-2454,36.478648,127.25792,2024-05-31
???????,??????? ??? 43 (???),????,1,044-300-2454,36.476556,127.255682,2024-05-31
???????,??????? ??3? 92 (???),????,1,044-300-2454,36.479997,127.254596,2024-05-31
???????,??????? ??3? 70 (???),????,1,044-300-2454,36.480164,127.258783,2024-05-31
???????,??????? ??? 40 (???),????,1,044-300-2454,36.476326,127.251194,2024-05-31
???????,??????? ??? 82 (???),????,1,044-300-2454,36.475696,127.258224,2024-05-31
???????,??????? ??1? 30 (???),????,3,044-300-2454,36.479792,127.259247,2024-05-31
???????,??????? ??? 32 (???),????,3,044-300-2454,36.477519,127.252086,2024-05-31
???????,??????? ??? 5 (???),????,1,044-300-2454,36.479222,127.246694,2024-05-31
???????,??????? ??? 27 (???),????,1,044-300-2454,36.473391,127.254586,2024-05-31
???????,??????? ??? 87 (???),????,1,044-300-2454,36.481942,127.255133,2024-05-31
???????,??????? ??? 72 (???),????,3,044-300-2454,36.481448,127.253818,2024-05-31
???????,??????? ??? 58 (???),????,2,044-300-2454,36.471792,127.253062,2024-05-31
???????,??????? ??? 96 (???),????,1,044-300-2454,36.47549,127.25089,2024-05-31
???????,??????? ??? 1247,????,1,044-300-2454,36.47915,127.25374,2024-05-31
???????,??????? ??? 3 (???),????,3,044-300-2454,36.474701,127.254796,2024-05-31
???????,??????? ??? 883-243,????,4,044-300-2454,36.483078,127.323185,2024-05-31
???????,??????? ??? ? 198,????,3,044-300-2454,36.482519,127.32059,2024-05-31
???????,??????? ??? 789-150,????,3,044-300-2454,36.481504,127.324116,2024-05-31
???????,??????? ??? 1012-3,????,3,044-300-2454,36.500053,127.332933,2024-05-31
???????,??????? ??? 1065,????,3,044-300-2454,36.500223,127.330653,2024-05-31
???????,??????? ??? 883-177,????,5,044-300-2454,36.485345,127.323769,2024-05-31
???????,??????? ??? 785-208,????,3,044-300-2454,36.487351,127.324612,2024-05-31
???????,??????? ??? 785-228,????,4,044-300-2454,36.486275,127.324052,2024-05-31
???????,??????? ??? 785-131,????,3,044-300-2454,36.491948,127.327754,2024-05-31
???????,??????? ??? 785-181,????,3,044-300-2454,36.48886,127.32601,2024-05-31
???????,??????? ??? ? 132,????,3,044-300-2454,36.493846,127.329116,2024-05-31
???????,??????? ??? ? 132,????,3,044-300-2454,36.49442,127.3301,2024-05-31
???????,??????? ??? ? 44,????,4,044-300-2454,36.496389,127.332257,2024-05-31
???????,??????? ??? 1017-6,????,3,044-300-2454,36.497546,127.333787,2024-05-31
???????,??????? ??? ? 34,????,3,044-300-2454,36.498983,127.336956,2024-05-31
???????,??????? ??? ?17-1,????,3,044-300-2454,36.499628,127.337506,2024-05-31
???????,??????? ??? 623-5,????,3,044-300-2454,36.499197,127.335069,2024-05-31
???????,??????? ??? 785-350,????,3,044-300-2454,36.483993,127.317674,2024-05-31
???????,??????? ??? 785-292,????,4,044-300-2454,36.484699,127.319424,2024-05-31
???????,??????? ??? 883-86,????,3,044-300-2454,36.488071,127.322716,2024-05-31
???????,??????? ??? 883-101,????,3,044-300-2454,36.488931,127.321313,2024-05-31
???????,??????? ??? 883-26,????,4,044-300-2454,36.491579,127.321707,2024-05-31
???????,??????? ??? 883-56,????,3,044-300-2454,36.49108,127.321778,2024-05-31
???????,??????? ??? 926-1,????,5,044-300-2454,36.494464,127.320835,2024-05-31
???????,??????? ??? 785-33,????,3,044-300-2454,36.494812,127.322473,2024-05-31
???????,??????? ??? 884,????,3,044-300-2454,36.496255,127.322646,2024-05-31
???????,??????? ??? 927,????,3,044-300-2454,36.495438,127.322749,2024-05-31
???????,??????? ??? 885-1,????,3,044-300-2454,36.496103,127.321515,2024-05-31
???????,??????? ??? 13-79,????,3,044-300-2454,36.497901,127.320371,2024-05-31
???????,??????? ??? 885-1,????,3,044-300-2454,36.497324,127.322218,2024-05-31
???????,??????? ??? 885-1,????,3,044-300-2454,36.497842,127.322554,2024-05-31
???????,??????? ??? 996-4,????,3,044-300-2454,36.498143,127.325175,2024-05-31
???????,??????? ??? 883-161,????,4,044-300-2454,36.484703,127.321145,2024-05-31
???????,??????? ??? 883-206,????,4,044-300-2454,36.484118,127.321907,2024-05-31
???????,??????? ??? 883-148,????,3,044-300-2454,36.485241,127.320271,2024-05-31
???????,??????? ??? 785-94,????,3,044-300-2454,36.489545,127.323831,2024-05-31
???????,??????? ??? 883-42,????,3,044-300-2454,36.490091,127.322921,2024-05-31
???????,??????? ??? 883-72,????,4,044-300-2454,36.490418,127.321443,2024-05-31
???????,??????? ??? 785-57,????,3,044-300-2454,36.493192,127.3225,2024-05-31
???????,??????? ??? 883-2,????,3,044-300-2454,36.49356,127.320704,2024-05-31
???????,??????? ??? 785-557,????,4,044-300-2454,36.494468,127.324118,2024-05-31
???????,??????? ??? ?171,????,3,044-300-2454,36.494339,127.325262,2024-05-31
???????,??????? ??? 792-1,????,3,044-300-2454,36.496182,127.32554,2024-05-31
???????,??????? ??? 1007-2,????,3,044-300-2454,36.499567,127.328225,2024-05-31
???????,??????? ??? 1003-1,????,3,044-300-2454,36.499682,127.327576,2024-05-31
???????,??????? ??? 370,????,3,044-300-2454,36.501561,127.328461,2024-05-31
???????,??????? ??? 996-1,????,3,044-300-2454,36.498856,127.324629,2024-05-31
???????,??????? ??? 883-206,????,4,044-300-2454,36.486255,127.321375,2024-05-31
???????,??????? ??? 785-185,????,3,044-300-2454,36.48939,127.325145,2024-05-31
???????,??????? ??? ?180,????,3,044-300-2454,36.491018,127.324724,2024-05-31
???????,??????? ??? ?173,????,3,044-300-2454,36.492977,127.325334,2024-05-31
???????,??????? ??? ?126,????,3,044-300-2454,36.496171,127.326673,2024-05-31
???????,??????? ??? 781-2,????,3,044-300-2454,36.495118,127.327863,2024-05-31
???????,??????? ??? ?50,????,3,044-300-2454,36.497623,127.330893,2024-05-31
???????,??????? ??? 724-3,????,3,044-300-2454,36.498759,127.331459,2024-05-31
???????,??????? ??? 676,????,2,044-300-2454,36.504472,127.247262,2024-05-31
???????,??????? ??? ??1? 13 (???),????,1,044-300-2454,36.501764,127.24525,2024-05-31
???????,??????? ??? 681,????,1,044-300-2454,36.503409,127.2419,2024-05-31
???????,??????? ???? 25 (???),????,1,044-300-2454,36.501383,127.250459,2024-05-31
???????,??????? ??3? 12 (???),????,2,044-300-2454,36.504927,127.247799,2024-05-31
???????,??????? ??1? 90 (???),????,1,044-300-2454,36.507644,127.245605,2024-05-31
???????,??????? ??? 694,????,1,044-300-2454,36.499418,127.251425,2024-05-31
???????,??????? ??? 30 (???),????,1,044-300-2454,36.508898,127.244317,2024-05-31
???????,??????? ??? ??? 1190 (???),????,1,044-300-2454,36.509088,127.241694,2024-05-31
???????,??????? ??? ??? 80 (???),????,2,044-300-2454,36.499416,127.249521,2024-05-31
???????,??????? ??3? 70 (???),????,1,044-300-2454,36.504089,127.253257,2024-05-31
???????,??????? ???? 65 (???),????,1,044-300-2454,36.504779,127.250234,2024-05-31
???????,??????? ???? 35 (???),????,2,044-300-2454,36.502311,127.250264,2024-05-31
???????,??????? ??3? 145 (???),????,1,044-300-2454,36.505246,127.24514,2024-05-31
???????,??????? ??? ??? 1110 (???),????,2,044-300-2454,36.50189,127.24109,2024-05-31
???????,??????? ??? ??1? 40 (???),????,1,044-300-2454,36.501741,127.252981,2024-05-31
???????,??????? ??? 670,????,1,044-300-2454,36.503594,127.249441,2024-05-31
???????,??????? ??? 676,????,2,044-300-2454,36.503578,127.247845,2024-05-31
??,???? ??? ??? ??? ??? 244-4,????,3,044-300-2454,36.591278,127.310314,2024-05-31
???????,??????? ???? ??? 188-60,????,3,044-300-2454,36.608594,127.288016,2024-05-31
???????,??????? ???? ??12? 3,????,1,044-300-2454,36.602241,127.298007,2024-05-31
??,???? ??? ??? ??? ??? 244-4,????,3,044-300-2454,36.603655,127.306564,2024-05-31
???????,??????? ???? ??? 17-5,????,3,044-300-2454,36.597607,127.292136,2024-05-31
???????,??????? ???? ??? 2,????,3,044-300-2454,36.598985,127.304786,2024-05-31
???????,??????? ???? ?? 490,????,3,044-300-2454,36.5929,127.3011,2024-05-31
???????,??????? ???? ??? 11,????,1,044-300-2454,36.585452,127.294702,2024-05-31
???????,??????? ???? ??? 14,????,2,044-300-2454,36.606509,127.288798,2024-05-31
???????,??????? ???? ??? 248,????,3,044-300-2454,36.602337,127.296615,2024-05-31
???????,??????? ???? ?? 23-1,????,1,044-300-2454,36.604239,127.300821,2024-05-31
??,???? ??? ??? ??? ???? 3,????,4,044-300-2454,36.603936,127.306516,2024-05-31
???????,??????? ???? ???? 45-7,????,2,044-300-2454,36.602119,127.301723,2024-05-31
???????,??????? ???? ??? 2676,????,3,044-300-2454,36.624144,127.290504,2024-05-31
???????,??????? ???? ??? 215,????,3,044-300-2454,36.601447,127.296236,2024-05-31
???????,??????? ???? ??? 130-65,????,3,044-300-2454,36.601959,127.29439,2024-05-31
???????,??????? ???? ??? 243-3,????,2,044-300-2454,36.600912,127.294329,2024-05-31
